No,Project_Title,Client,Contract_Value,contract_value_num,Status,start_date_iso,end_date_iso,Notes
1,FASA 2 (Lot 169) - Multiple Housing Units (Fasa 2A/2B),Cosmo Property Management Sdn. Bhd.,"RM6,667,000.00",6667000.0,In Progress,2025-01-01,2026-02-28,"Internal & external plumbing, water reticulation, sewerage"
2,"Pemasangan Air: 2 blocks factory & office (Plot 1), Pekan Bukit Selambau",Lagenda Setiamas Sdn. Bhd.,"RM1,500,000.00",1500000.0,In Progress,2025-08-01,2026-07-30,"Internal & external plumbing, water reticulation & sewerage"
3,Mixed development: shops & single-storey terraces (plots 60710-60741),MCL Holdings Sdn. Bhd.,"RM1,110,180.00",1110180.0,In Progress,2025-01-01,2026-03-30,"External plumbing, water reticulation & sewerage"
4,Factory + Office (Lot PT 98613) - Icon Packaging (HHC Building Construction),HHC Building Construction Sdn. Bhd. (for Icon Packaging),"RM862,705.00",862705.0,In Progress,2025-01-01,2025-12-30,"Internal & external plumbing, water reticulation & sewerage"
5,Training Centre (Phase 1) facilities & utilities,Geowood Construction Sdn. Bhd.,"RM711,076.00",711076.0,In Progress,2025-01-01,2026-02-01,"Internal & external plumbing, water reticulation & sewerage"
6,"Water installation for 2 blocks factory + offices (Plot 1), Bukit Selambau",Far East Agenda Sdn. Bhd.,"RM468,000.00",468000.0,In Progress,2025-01-01,2026-03-30,"CWSP internal & external plumbing, water reticulation & sewerage"
7,"Residential development (18 units + single/double-storey houses), Sungai Petani",Jubli Harmony,"RM140,000.00",140000.0,In Progress,2025-06-01,2026-03-30,"Internal & external plumbing, water reticulation & sewerage"
8,1-unit factory + 2-storey office - Icon Packaging,Icon Packaging Sdn. Bhd.,"RM951,805.00",951805.0,In Progress,2025-01-01,2025-11-30,"Internal & external plumbing, water reticulation & sewerage"
9,Factory & office development (Pekan Bukit Selambau) — Gaomart,Tetuan Gaomart (M) Sdn Bhd,"RM280,000.00",280000.0,In Progress,2025-07-01,2026-07-30,"Internal & external plumbing, water reticulation & sewerage"
10,Open factory for charcoal processing + office & parking,Best Carbon Chemical Sdn. Bhd.,"RM245,000.00",245000.0,Developer On-hold,,,"Internal & external plumbing, water reticulation & sewerage"
11,Amendment to approved plan — Factory & office (Lot 86),Yetta Steel Industries Sdn Bhd,"RM244,000.00",244000.0,In Progress,2025-11-15,2026-06-30,"Internal & external plumbing, water reticulation & sewerage"
12,Large mixed residential development (Bandar Lunas) — multiple housing types,Sri Pengkalan Binaan Sdn. Bhd.,"RM1,440,000.00",1440000.0,Complete,,,"Internal & external plumbing, water reticulation & sewerage"
13,Addition of single-storey factory (plastic processing) — External sewerage & reticulation,Respack Polychem Sdn. Bhd.,"RM300,900.00",300900.0,Complete,,,
14,132kV Main Substation Buildings & Electrical Structures (Solar PV project),BGMCBRAS Power Sdn. Bhd.,"RM1,484,238.00",1484238.0,Complete,,,Includes buildings for solar PV substation
15,3 Blocks factory + offices + facilities (Bukit Selambau),Genting Ehsan (SP) Sdn. Bhd.,"RM1,130,000.00",1130000.0,Complete,,,
16,95-unit apartment plumbing works (Alor Setar),Imperio Development Sdn. Bhd.,"RM1,030,000.00",1030000.0,Complete,,,Internal cold water & sanitary plumbing services
17,Residential development — semi-detached & terrace houses (Bayan Hill),Paramount Property Construction Sdn. Bhd.,"RM2,800,000.00",2800000.0,Complete,,,
20,Sewage treatment plant (Bandar Jitra),MKMutiara Sdn. Bhd.,(4990 PE),0,Complete,,,Sewage treatment plant capacity noted
21,Upgrade sewage treatment plant (Bandar Bedong),OIB Properties (KV) Sdn. Bhd.,(2770 PE),0,Complete,,,
22,Wastewater pumping station for Seri Temin housing scheme,Jesin Development (Bukit Kayu Hitam) Sdn Bhd,(2015 PE),0,Complete,,,
23,Sewage treatment plant for mixed development (Sungai Lalang),Hongjin Construction Sdn Bhd,(2192 PE),0,Complete,,,
24,Sewage treatment plant for 6-block apartment (1200 units) - Alor Setar,Harta Sentosa Sdn Bhd,(6200 PE),0,Complete,,,
25,Upgrade treatment plant for hotel conversion works (Jelutong),GMHotel Sdn Bhd,(3110 PE),0,Complete,,,
